Time,Open,High,Low,Close,Close_eurjpy,Close_audjpy,Close_gbpjpy
2023/1/1 13:00,130.925,130.962,130.743,130.759,#N/A,88.864,#N/A
2023/1/1 14:00,130.771,130.886,130.716,130.87,139.99,89.207,158.152
2023/1/1 15:00,130.886,131.041,130.788,130.821,140.06,88.994,158.122
2023/1/1 16:00,130.822,130.932,130.785,130.919,139.921,89.109,158.102
2023/1/1 17:00,130.894,130.999,130.894,130.963,139.995,89.133,158.076
2023/1/1 18:00,130.963,130.989,130.879,130.895,139.926,89.067,157.965
2023/1/1 19:00,130.896,130.93,130.879,130.914,140.057,89.009,158.021
2023/1/1 20:00,130.911,130.957,130.886,130.916,139.941,89.074,158.006
2023/1/1 21:00,130.92,130.985,130.898,130.939,139.769,89.049,158.046
2023/1/1 22:00,130.939,130.973,130.904,130.935,139.83,89.035,157.915
2023/1/1 23:00,130.939,130.957,130.908,130.926,139.831,89.042,157.703
2023/1/2 0:00,130.926,130.954,130.852,130.867,139.762,88.922,157.615
2023/1/2 1:00,130.866,130.873,130.752,130.782,139.734,88.872,157.608
2023/1/2 2:00,130.778,130.878,130.761,130.766,139.731,88.987,157.585
2023/1/2 3:00,130.766,130.796,130.702,130.727,139.647,89.005,157.542
2023/1/2 4:00,130.73,130.747,130.617,130.642,139.525,88.905,157.432
2023/1/2 5:00,130.642,130.771,130.633,130.707,139.527,89.049,157.503
2023/1/2 6:00,130.705,130.831,130.697,130.774,139.418,89.159,157.492
2023/1/2 7:00,130.774,130.843,130.668,130.743,139.331,89.09,157.493
2023/1/2 8:00,130.745,130.81,130.725,130.767,139.416,89.105,157.529
2023/1/2 9:00,130.771,130.789,130.741,130.769,139.295,89.035,157.513
2023/1/2 10:00,130.769,130.772,130.724,130.726,139.291,89.005,157.457
2023/1/2 11:00,130.726,130.73,130.696,130.697,139.397,88.801,157.42
2023/1/2 12:00,130.697,130.746,130.598,130.608,139.23,88.793,157.279
2023/1/2 13:00,130.641,130.725,130.631,130.699,139.414,88.802,157.421
2023/1/2 14:00,130.699,131.403,130.535,130.79,139.635,89.038,157.766
2023/1/2 15:00,130.789,130.903,130.57,130.606,139.365,88.759,157.429
2023/1/2 16:00,130.612,130.714,129.807,130.148,138.733,88.257,156.835
2023/1/2 17:00,130.15,130.305,129.78,129.92,138.711,88.49,156.923
2023/1/2 18:00,129.922,129.982,129.678,129.782,138.504,88.654,156.689
2023/1/2 19:00,129.781,129.799,129.507,129.592,138.237,88.47,156.446
2023/1/2 20:00,129.592,129.952,129.55,129.813,138.429,88.219,156.672
2023/1/2 21:00,129.812,130.058,129.613,129.841,138.307,88.305,156.622
2023/1/2 22:00,129.84,130.248,129.779,130.107,138.219,88.301,156.49
2023/1/2 23:00,130.107,130.956,130.095,130.78,137.995,87.785,155.781
2023/1/3 0:00,130.779,130.802,130.309,130.416,137.554,87.657,155.494
2023/1/3 1:00,130.413,130.732,130.361,130.689,137.629,87.608,155.629
2023/1/3 2:00,130.688,130.885,130.625,130.874,137.789,87.658,156.144
2023/1/3 3:00,130.874,131.198,130.829,130.974,137.988,87.825,156.581
2023/1/3 4:00,130.975,131.002,130.588,130.654,137.97,88.029,156.687
2023/1/3 5:00,130.654,130.793,130.055,130.185,137.659,87.864,156.602
2023/1/3 6:00,130.185,130.932,130.183,130.739,138,88.158,157
2023/1/3 7:00,130.741,131.107,130.621,130.832,138.134,88.037,156.582
2023/1/3 8:00,130.833,130.882,130.722,130.792,137.937,87.994,156.477
2023/1/3 9:00,130.789,130.812,130.6,130.621,137.891,87.947,156.469
2023/1/3 10:00,130.62,130.789,130.572,130.777,138.181,88.09,156.719
2023/1/3 11:00,130.778,130.963,130.749,130.959,138.186,88.117,156.793
2023/1/3 12:00,130.962,131.036,130.885,131.007,138.146,88.09,156.74
2023/1/3 13:00,130.991,131.029,130.953,130.974,138.162,88.097,156.709
2023/1/3 14:00,130.987,131.466,130.969,131.293,138.455,88.296,157.102
2023/1/3 15:00,131.296,131.304,130.819,131.014,138.325,88.348,157.074
2023/1/3 16:00,131.014,131.216,130.577,130.642,138.049,88.371,156.684
2023/1/3 17:00,130.644,130.934,130.628,130.815,138.2,88.521,156.772
2023/1/3 18:00,130.815,130.857,130.615,130.646,138.076,88.607,156.623
2023/1/3 19:00,130.643,130.95,130.64,130.827,138.319,89.026,156.881
2023/1/3 20:00,130.827,130.995,130.75,130.848,138.292,88.994,156.807
2023/1/3 21:00,130.848,130.877,130.68,130.729,138.182,88.94,156.686
2023/1/3 22:00,130.729,130.754,130.113,130.245,137.979,89.11,156.629
2023/1/3 23:00,130.249,130.529,129.923,130.503,138.543,89.665,157.182
2023/1/4 0:00,130.504,130.628,130.272,130.418,138.386,89.61,157.277
2023/1/4 1:00,130.418,130.568,130.418,130.426,138.525,89.723,157.388
2023/1/4 2:00,130.429,130.592,130.276,130.53,138.418,89.697,157.348
2023/1/4 3:00,130.531,130.976,130.515,130.833,138.773,89.705,157.627
2023/1/4 4:00,130.832,130.922,130.581,130.708,138.685,89.856,157.576
2023/1/4 5:00,130.706,131.126,130.697,131.006,139.162,90.06,158.089
2023/1/4 6:00,131.005,132.086,130.966,132.012,139.971,90.473,158.998
2023/1/4 7:00,132.011,132.19,131.937,132.002,140.17,90.529,159.188
2023/1/4 8:00,132.003,132.712,131.996,132.55,140.594,90.727,159.919
2023/1/4 9:00,132.548,132.595,132.384,132.475,140.401,90.543,159.803
2023/1/4 10:00,132.476,132.715,132.427,132.61,140.635,90.697,159.914
2023/1/4 11:00,132.611,132.691,132.485,132.681,140.683,90.719,159.991
2023/1/4 12:00,132.682,132.714,132.611,132.611,140.615,90.636,159.894
2023/1/4 13:00,132.611,132.611,132.367,132.367,140.386,90.461,159.592
2023/1/4 14:00,132.368,132.458,132.062,132.249,140.275,90.312,159.442
2023/1/4 15:00,132.243,132.314,131.811,131.878,140.182,90.087,159.219
2023/1/4 16:00,131.879,132.01,131.681,131.969,140.159,90.252,159.194
2023/1/4 17:00,131.971,132.197,131.922,131.979,140.139,89.959,159.008
2023/1/4 18:00,131.979,132.383,131.934,132.343,140.386,90.026,159.298
2023/1/4 19:00,132.344,132.425,132.191,132.307,140.313,90.161,159.266
2023/1/4 20:00,132.307,132.623,132.295,132.481,140.57,90.381,159.465
2023/1/4 21:00,132.485,132.572,132.243,132.436,140.439,90.272,159.231
2023/1/4 22:00,132.435,132.612,132.265,132.482,140.507,90.211,159.075
2023/1/4 23:00,132.482,132.901,132.429,132.588,140.817,90.431,159.373
2023/1/5 0:00,132.589,132.695,132.422,132.531,140.806,90.457,159.443
2023/1/5 1:00,132.532,132.634,132.38,132.479,140.684,90.455,159.315
2023/1/5 2:00,132.479,132.597,132.321,132.451,140.555,90.519,159.233
2023/1/5 3:00,132.452,132.765,132.389,132.76,140.726,90.666,159.333
2023/1/5 4:00,132.761,133.72,132.736,133.685,141.079,90.602,159.34
2023/1/5 5:00,133.684,133.786,133.467,133.742,140.96,90.474,159.245
2023/1/5 6:00,133.741,134.053,133.599,133.869,140.815,90.208,159.047
2023/1/5 7:00,133.869,133.913,133.47,133.575,140.542,90.065,158.959
2023/1/5 8:00,133.575,133.576,133.07,133.245,140.317,89.881,158.657
2023/1/5 9:00,133.244,133.326,132.951,133.116,140.261,90.058,158.794
2023/1/5 10:00,133.115,133.299,133.105,133.186,140.256,90.005,158.726
2023/1/5 11:00,133.186,133.366,133.185,133.363,140.302,90.046,158.831
2023/1/5 12:00,133.362,133.44,133.349,133.399,140.352,90.045,158.863
2023/1/5 13:00,133.4,133.428,133.376,133.4,140.347,90.069,158.854
2023/1/5 14:00,133.4,133.518,133.269,133.318,140.271,90.027,158.755
2023/1/5 15:00,133.318,133.637,133.301,133.536,140.609,90.421,159.23
2023/1/5 16:00,133.536,133.806,133.482,133.804,140.832,90.455,159.465
2023/1/5 17:00,133.805,133.823,133.579,133.642,140.69,90.372,159.366
2023/1/5 18:00,133.642,133.943,133.629,133.815,140.948,90.639,159.619
2023/1/5 19:00,133.815,133.923,133.776,133.912,140.943,90.634,159.666
2023/1/5 20:00,133.911,134.368,133.848,134.155,141.073,90.631,159.69
2023/1/5 21:00,134.166,134.198,133.97,134.024,140.897,90.605,159.571
2023/1/5 22:00,134.022,134.321,133.701,134.221,141.108,90.592,159.599
2023/1/5 23:00,134.22,134.443,134.149,134.347,141.32,90.71,159.69
2023/1/6 0:00,134.347,134.59,134.28,134.41,141.237,90.613,159.38
2023/1/6 1:00,134.411,134.411,134.219,134.359,141.187,90.556,159.281
2023/1/6 2:00,134.358,134.624,134.261,134.527,141.186,90.527,159.379
2023/1/6 3:00,134.527,134.688,134.462,134.671,141.337,90.625,159.707
2023/1/6 4:00,134.67,134.773,133.231,133.371,140.613,90.538,159.058
2023/1/6 5:00,133.37,134.098,133.259,133.989,140.824,90.414,159.309
2023/1/6 6:00,133.989,133.989,132.353,132.432,140.412,90.591,159.529
2023/1/6 7:00,132.432,132.544,132.182,132.209,140.395,90.741,159.478
2023/1/6 8:00,132.21,132.345,132.078,132.107,140.543,90.744,159.647
2023/1/6 9:00,132.108,132.21,132.049,132.097,140.527,90.819,159.599
2023/1/6 10:00,132.096,132.11,131.993,132.033,140.562,90.851,159.716
2023/1/6 11:00,132.033,132.126,132.031,132.094,140.64,90.933,159.769
2023/1/6 12:00,132.095,132.161,132.012,132.03,140.6,90.791,159.75
2023/1/8 13:00,131.899,132.128,131.879,132.125,140.605,90.829,159.678
2023/1/8 14:00,132.125,132.285,131.786,131.802,140.534,90.889,159.739
2023/1/8 15:00,131.805,132.112,131.707,131.828,140.551,90.958,159.622
2023/1/8 16:00,131.828,131.996,131.589,131.74,140.526,90.94,159.58
2023/1/8 17:00,131.74,131.784,131.341,131.347,140.242,90.964,159.386
2023/1/8 18:00,131.35,131.643,131.304,131.627,140.413,91.01,159.56
2023/1/8 19:00,131.628,131.727,131.533,131.699,140.614,91.233,159.898
2023/1/8 20:00,131.699,131.912,131.684,131.843,140.772,91.426,160.132
2023/1/8 21:00,131.842,131.944,131.712,131.803,140.781,91.388,160.101
2023/1/8 22:00,131.803,132.37,131.614,132.228,141.128,91.448,160.518
2023/1/8 23:00,132.23,132.271,131.989,132.145,141.264,91.528,160.639
2023/1/9 0:00,132.144,132.572,132.135,132.44,141.339,91.722,161.02
2023/1/9 1:00,132.439,132.653,132.365,132.618,141.483,91.619,160.647
2023/1/9 2:00,132.618,132.639,132.366,132.508,141.574,91.612,160.914
2023/1/9 3:00,132.513,132.515,132.125,132.283,141.391,91.552,160.567
2023/1/9 4:00,132.283,132.283,131.724,131.781,141.335,91.361,160.347
2023/1/9 5:00,131.782,132.065,131.684,131.879,141.478,91.48,160.72
2023/1/9 6:00,131.878,132.067,131.833,131.945,141.709,91.597,160.848
2023/1/9 7:00,131.947,131.952,131.553,131.579,141.555,91.41,160.583
2023/1/9 8:00,131.58,131.934,131.552,131.761,141.643,91.401,160.671
2023/1/9 9:00,131.761,131.88,131.682,131.85,141.649,91.314,160.682
2023/1/9 10:00,131.85,131.855,131.531,131.566,141.455,91.239,160.554
2023/1/9 11:00,131.566,131.878,131.564,131.797,141.429,91.103,160.526
2023/1/9 12:00,131.797,131.895,131.779,131.867,141.449,91.115,160.665
2023/1/9 13:00,131.86,131.908,131.738,131.869,141.539,91.11,160.624
2023/1/9 14:00,131.869,131.92,131.587,131.729,141.383,91.013,160.482
2023/1/9 15:00,131.731,132.221,131.67,131.7,141.284,91.017,160.327
2023/1/9 16:00,131.7,131.736,131.38,131.518,141.2,91.069,160.183
2023/1/9 17:00,131.518,131.895,131.485,131.788,141.42,90.978,160.364
2023/1/9 18:00,131.788,131.917,131.777,131.83,141.486,90.996,160.404
2023/1/9 19:00,131.828,132.016,131.813,131.984,141.627,91.119,160.487
2023/1/9 20:00,131.984,132.031,131.661,131.772,141.554,91.078,160.42
2023/1/9 21:00,131.772,132.004,131.733,131.917,141.597,91.123,160.547
2023/1/9 22:00,131.917,132.29,131.862,132.22,141.888,91.187,160.632
2023/1/9 23:00,132.221,132.226,131.729,131.833,141.572,91.034,160.403
2023/1/10 0:00,131.833,131.945,131.689,131.82,141.654,90.95,160.599
2023/1/10 1:00,131.821,132.008,131.814,131.972,141.688,90.975,160.627
2023/1/10 2:00,131.972,132.182,131.966,132.046,141.75,90.898,160.492
2023/1/10 3:00,132.045,132.444,132.04,132.384,141.905,90.868,160.538
2023/1/10 4:00,132.383,132.477,132.221,132.29,141.838,90.932,160.552
2023/1/10 5:00,132.289,132.289,131.726,132.008,141.781,90.979,160.457
2023/1/10 6:00,132.011,132.325,131.921,132.174,141.792,90.952,160.553
2023/1/10 7:00,132.174,132.346,132.07,132.252,141.987,91.024,160.72
2023/1/10 8:00,132.253,132.271,132.092,132.208,141.898,91.019,160.607
2023/1/10 9:00,132.207,132.302,132.148,132.26,142.021,91.138,160.842
2023/1/10 10:00,132.261,132.286,132.163,132.23,142.022,91.163,160.836
2023/1/10 11:00,132.23,132.248,132.151,132.234,141.969,91.152,160.677
2023/1/10 12:00,132.233,132.27,132.173,132.243,141.934,91.11,160.656
2023/1/10 13:00,132.2,132.227,132.054,132.15,141.888,91.114,160.54
2023/1/10 14:00,132.149,132.224,132.063,132.102,141.856,91.058,160.54
2023/1/10 15:00,132.103,132.36,132.089,132.258,142.113,91.237,160.806
2023/1/10 16:00,132.259,132.524,132.231,132.389,142.07,91.222,160.854
2023/1/10 17:00,132.389,132.578,132.327,132.557,142.188,91.316,161.017
2023/1/10 18:00,132.553,132.56,132.399,132.452,142.176,91.413,160.977
2023/1/10 19:00,132.453,132.498,132.265,132.271,142.042,91.412,160.825
2023/1/10 20:00,132.27,132.33,132.132,132.259,142.144,91.478,160.933
2023/1/10 21:00,132.259,132.357,132.161,132.312,142.177,91.448,160.915
2023/1/10 22:00,132.313,132.427,132.159,132.42,142.303,91.442,160.975
2023/1/10 23:00,132.42,132.725,132.384,132.679,142.36,91.506,160.897
