,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1000,1,2,116.12432243999999,116.227,102.67756000001782,0.000884203738222622,2007-03-13 17:00:00,2007-03-13 18:00:00,0 days 01:00:00
1,1000,3,4,116.10932213999999,116.14,30.677860000011492,0.0002642153053225016,2007-03-13 19:00:00,2007-03-13 20:00:00,0 days 01:00:00
2,-1000,7,8,115.9926801,116.116,-123.31989999999848,-0.0010631696749630049,2007-03-13 23:00:00,2007-03-14 00:00:00,0 days 01:00:00
3,1000,9,11,116.16732329999999,116.565,397.6767000000052,0.0034233094875828485,2007-03-14 01:00:00,2007-03-14 03:00:00,0 days 02:00:00
4,-1000,12,20,116.5326693,117.06,-527.3307000000074,-0.004525174812931354,2007-03-14 04:00:00,2007-03-14 12:00:00,0 days 08:00:00
5,1000,21,22,117.27334541999998,117.267,-6.345419999988167,-5.410794735383195e-05,2007-03-14 13:00:00,2007-03-14 14:00:00,0 days 01:00:00
6,-1000,23,29,117.16365667999999,117.295,-131.34332000001336,-0.0011210244176549367,2007-03-14 15:00:00,2007-03-14 21:00:00,0 days 06:00:00
7,1000,30,31,117.25134497999998,117.31,58.655020000017544,0.0005002502957216493,2007-03-14 22:00:00,2007-03-14 23:00:00,0 days 01:00:00
8,1000,32,35,117.26034515999999,117.251,-9.345159999980979,-7.969582544919973e-05,2007-03-15 00:00:00,2007-03-15 03:00:00,0 days 03:00:00
9,1000,36,37,117.25934514,117.16,-99.34513999999695,-0.0008472257787333071,2007-03-15 04:00:00,2007-03-15 05:00:00,0 days 01:00:00
10,-1000,38,40,117.24165512,117.663,-421.3448799999924,-0.003593815522040744,2007-03-15 06:00:00,2007-03-15 08:00:00,0 days 02:00:00
11,1000,41,43,117.61635227999999,117.539,-77.35227999998529,-0.0006576660345309904,2007-03-15 09:00:00,2007-03-15 11:00:00,0 days 02:00:00
12,1000,44,47,117.47834952,117.106,-372.3495200000002,-0.0031695160982544435,2007-03-15 12:00:00,2007-03-15 15:00:00,0 days 03:00:00
13,1000,49,51,116.86033716,117.062,201.66283999999735,0.0017256739532069965,2007-03-15 17:00:00,2007-03-15 19:00:00,0 days 02:00:00
14,1000,52,54,117.03434063999998,116.829,-205.34063999998864,-0.0017545332325289431,2007-03-15 20:00:00,2007-03-15 22:00:00,0 days 02:00:00
15,1000,55,59,116.84333681999999,116.654,-189.33681999999408,-0.0016204331813260975,2007-03-15 23:00:00,2007-03-16 03:00:00,0 days 04:00:00
16,-1000,60,61,116.91166172,116.73,181.66171999999392,0.0015538374643503383,2007-03-16 04:00:00,2007-03-16 05:00:00,0 days 01:00:00
17,1000,62,63,116.76433524,116.775,10.664760000011597,9.133576599462678e-05,2007-03-16 06:00:00,2007-03-16 07:00:00,0 days 01:00:00
18,1000,64,70,116.78533565999999,116.398,-387.33565999999087,-0.003316646373545118,2007-03-16 08:00:00,2007-03-18 14:00:00,2 days 06:00:00
19,-1000,71,72,116.6876662,117.155,-467.3338000000058,-0.0040049974022018375,2007-03-18 15:00:00,2007-03-18 16:00:00,0 days 01:00:00
20,1000,73,75,116.98533966,117.264,278.66034000000184,0.0023820107785290645,2007-03-18 17:00:00,2007-03-18 19:00:00,0 days 02:00:00
21,-1000,77,80,117.16365667999999,117.567,-403.3433200000047,-0.003442563431607759,2007-03-18 21:00:00,2007-03-19 00:00:00,0 days 03:00:00
22,-1000,82,83,117.42665142,117.416,10.651420000002076,9.070700621360839e-05,2007-03-19 02:00:00,2007-03-19 03:00:00,0 days 01:00:00
23,1000,87,91,117.6573531,117.485,-172.35309999999515,-0.0014648731716199181,2007-03-19 07:00:00,2007-03-19 11:00:00,0 days 04:00:00
24,1000,93,98,117.41234819999998,117.777,364.6518000000185,0.0031057363692179596,2007-03-19 13:00:00,2007-03-19 18:00:00,0 days 05:00:00
